expver,time,ssrd
1,2020-01-13 04:00:00,1380742.0
1,2020-01-13 05:00:00,1954687.8
1,2020-01-13 06:00:00,2318432.2
1,2020-01-13 07:00:00,2438711.5
1,2020-01-13 08:00:00,2306465.2
1,2020-01-13 09:00:00,1854353.8
1,2020-01-13 10:00:00,1254107.5
1,2020-01-13 11:00:00,604302.75
1,2020-01-13 12:00:00,46583.5
1,2020-01-14 02:00:00,60105.75
1,2020-01-14 03:00:00,646559.4
1,2020-01-14 04:00:00,1348018.5
1,2020-01-14 05:00:00,1934404.5
1,2020-01-14 06:00:00,1950698.8
1,2020-01-14 07:00:00,1990588.9
1,2020-01-14 08:00:00,1768353.1
1,2020-01-14 09:00:00,1461671.8
1,2020-01-14 10:00:00,899760.75
1,2020-01-14 11:00:00,410666.25
1,2020-01-14 12:00:00,39349.25
1,2020-01-15 02:00:00,64027.25
1,2020-01-15 03:00:00,684691.75
1,2020-01-15 04:00:00,1425229.8
1,2020-01-15 05:00:00,2012968.0
1,2020-01-15 06:00:00,2373737.8
1,2020-01-15 07:00:00,2337701.2
1,2020-01-15 08:00:00,2111949.8
1,2020-01-15 09:00:00,1698443.9
1,2020-01-15 10:00:00,1043703.5
1,2020-01-15 11:00:00,465160.38
1,2020-01-15 12:00:00,41242.5
1,2020-01-16 03:00:00,630941.4
1,2020-01-16 04:00:00,1381215.2
1,2020-01-16 05:00:00,1951374.8
1,2020-01-16 06:00:00,2250145.8
1,2020-01-16 07:00:00,2113504.8
1,2020-01-16 08:00:00,1863684.0
1,2020-01-16 09:00:00,1481955.0
1,2020-01-16 10:00:00,949724.9
1,2020-01-16 11:00:00,431084.62
1,2020-01-16 12:00:00,43879.25
1,2020-01-17 02:00:00,53547.5
1,2020-01-17 03:00:00,624315.5
1,2020-01-17 04:00:00,1320568.6
1,2020-01-17 05:00:00,1906549.0
1,2020-01-17 06:00:00,2312415.0
1,2020-01-17 07:00:00,2335740.5
1,2020-01-17 08:00:00,1883831.9
1,2020-01-17 09:00:00,1564034.1
1,2020-01-17 10:00:00,963585.1
1,2020-01-17 11:00:00,465701.25
1,2020-01-17 12:00:00,44690.5
1,2020-01-18 02:00:00,50099.25
1,2020-01-18 03:00:00,500047.38
1,2020-01-18 04:00:00,1248698.6
1,2020-01-18 05:00:00,1770313.8
1,2020-01-18 06:00:00,2092139.9
1,2020-01-18 07:00:00,2009452.2
1,2020-01-18 08:00:00,1824807.9
1,2020-01-18 09:00:00,1441253.5
1,2020-01-18 10:00:00,974267.5
1,2020-01-18 11:00:00,378956.88
1,2020-01-18 12:00:00,41039.5
1,2020-01-19 02:00:00,50910.75
1,2020-01-19 03:00:00,547510.0
1,2020-01-19 04:00:00,1292510.2
1,2020-01-19 05:00:00,1871053.5
1,2020-01-19 06:00:00,2282125.5
1,2020-01-19 07:00:00,2170027.2
1,2020-01-19 08:00:00,1984706.8
1,2020-01-19 09:00:00,1550579.6
1,2020-01-19 10:00:00,1048977.1
1,2020-01-19 11:00:00,433045.38
1,2020-01-19 12:00:00,49693.75
1,2020-01-20 02:00:00,75521.0
1,2020-01-20 03:00:00,733371.25
1,2020-01-20 04:00:00,1499533.8
1,2020-01-20 05:00:00,2106676.2
1,2020-01-20 06:00:00,2491244.8
1,2020-01-20 07:00:00,2610780.2
1,2020-01-20 08:00:00,2468662.8
1,2020-01-20 09:00:00,2079429.1
1,2020-01-20 10:00:00,1481549.2
1,2020-01-20 11:00:00,733574.1
1,2020-01-20 12:00:00,81944.0
1,2020-01-21 02:00:00,69976.75
1,2020-01-21 03:00:00,668262.4
1,2020-01-21 04:00:00,1312320.1
1,2020-01-21 05:00:00,1974632.8
1,2020-01-21 06:00:00,2366773.8
1,2020-01-21 07:00:00,2124255.0
1,2020-01-21 08:00:00,2045556.2
1,2020-01-21 09:00:00,1601625.5
1,2020-01-21 10:00:00,1038903.25
1,2020-01-21 11:00:00,614850.0
1,2020-01-21 12:00:00,74912.5
1,2020-01-22 02:00:00,71261.5
1,2020-01-22 03:00:00,678539.1
1,2020-01-22 04:00:00,1427866.5
1,2020-01-22 05:00:00,2058267.0
1,2020-01-22 06:00:00,2250551.2
1,2020-01-22 07:00:00,2167187.5
1,2020-01-22 08:00:00,1807837.6
1,2020-01-22 09:00:00,1354644.2
1,2020-01-22 10:00:00,981366.6
1,2020-01-22 11:00:00,468540.88
1,2020-01-22 12:00:00,59632.5
1,2020-01-23 02:00:00,75723.75
1,2020-01-23 03:00:00,710857.0
1,2020-01-23 04:00:00,1471002.0
1,2020-01-23 05:00:00,2102619.5
1,2020-01-23 06:00:00,2488878.5
1,2020-01-23 07:00:00,2567239.0
1,2020-01-23 08:00:00,1936500.5
1,2020-01-23 10:00:00,1108339.2
1,2020-01-23 11:00:00,344069.88
1,2020-01-23 12:00:00,71734.75
1,2020-01-24 02:00:00,85392.0
1,2020-01-24 03:00:00,761024.0
1,2020-01-24 04:00:00,1533271.2
1,2020-01-24 05:00:00,2145349.2
1,2020-01-24 06:00:00,2535462.0
1,2020-01-24 07:00:00,2670818.2
1,2020-01-24 08:00:00,2541073.8
1,2020-01-24 09:00:00,2097413.5
1,2020-01-24 10:00:00,1508187.8
1,2020-01-24 11:00:00,776101.1
1,2020-01-24 12:00:00,107771.25
1,2020-01-25 02:00:00,76873.25
1,2020-01-25 03:00:00,720998.5
1,2020-01-25 04:00:00,1503319.9
1,2020-01-25 05:00:00,2120198.2
1,2020-01-25 06:00:00,2507741.8
1,2020-01-25 07:00:00,2660406.2
1,2020-01-25 08:00:00,2026692.9
1,2020-01-25 09:00:00,1820818.9
1,2020-01-25 10:00:00,1167768.9
1,2020-01-25 11:00:00,578069.9
1,2020-01-25 12:00:00,83837.0
1,2020-01-26 02:00:00,89313.5
1,2020-01-26 03:00:00,760009.9
1,2020-01-26 04:00:00,1521033.8
1,2020-01-26 06:00:00,2503617.5
1,2020-01-26 07:00:00,2631874.8
1,2020-01-26 08:00:00,2092613.1
1,2020-01-26 09:00:00,1406772.0
1,2020-01-26 10:00:00,956350.75
1,2020-01-26 11:00:00,610049.75
1,2020-01-26 12:00:00,84580.75
1,2020-01-27 02:00:00,95871.75
1,2020-01-27 03:00:00,786648.4
1,2020-01-27 04:00:00,1558625.2
1,2020-01-27 05:00:00,2170230.0
1,2020-01-27 06:00:00,2560478.0
1,2020-01-27 07:00:00,2611253.5
1,2020-01-27 08:00:00,2157113.5
1,2020-01-27 09:00:00,1705137.2
1,2020-01-27 10:00:00,1061079.5
1,2020-01-27 11:00:00,574824.6
1,2020-01-27 12:00:00,98779.0
1,2020-01-28 02:00:00,94654.75
1,2020-01-28 03:00:00,764810.1
1,2020-01-28 04:00:00,1527794.9
1,2020-01-28 05:00:00,2146972.0
1,2020-01-28 06:00:00,2542155.5
1,2020-01-28 07:00:00,2679472.5
1,2020-01-28 08:00:00,2350953.0
1,2020-01-28 09:00:00,1618528.2
1,2020-01-28 10:00:00,1017808.75
1,2020-01-28 11:00:00,553324.5
1,2020-01-28 12:00:00,85256.75
1,2020-01-29 02:00:00,75588.5
1,2020-01-29 03:00:00,600516.6
1,2020-01-29 04:00:00,1282706.8
1,2020-01-29 05:00:00,1941503.6
1,2020-01-29 06:00:00,2414304.0
1,2020-01-29 07:00:00,2505172.5
1,2020-01-29 08:00:00,2124728.2
1,2020-01-29 09:00:00,1705407.8
1,2020-01-29 10:00:00,1115776.4
1,2020-01-29 11:00:00,537706.4
1,2020-01-29 12:00:00,86609.0
1,2020-01-30 02:00:00,93708.25
1,2020-01-30 03:00:00,745270.75
1,2020-01-30 04:00:00,1417589.8
1,2020-01-30 05:00:00,2030479.1
1,2020-01-30 06:00:00,2290847.2
1,2020-01-30 07:00:00,2184969.2
1,2020-01-30 08:00:00,1972874.9
1,2020-01-30 09:00:00,1646045.8
1,2020-01-30 10:00:00,1202520.8
1,2020-01-30 12:00:00,105066.75
1,2020-01-31 02:00:00,108853.0
1,2020-01-31 03:00:00,819236.6
1,2020-01-31 04:00:00,1600881.9
1,2020-01-31 05:00:00,2217895.5
1,2020-01-31 06:00:00,2621057.0
1,2020-01-31 07:00:00,2774871.0
1,2020-01-31 08:00:00,2669601.2
1,2020-01-31 09:00:00,2267183.5
1,2020-01-31 10:00:00,1557881.5
1,2020-01-31 11:00:00,692061.25
1,2020-01-31 12:00:00,118386.0
1,2020-02-01 02:00:00,100942.5
1,2020-02-01 03:00:00,757643.5
1,2020-02-01 04:00:00,1477087.0
1,2020-02-01 05:00:00,2115938.8
1,2020-02-01 06:00:00,2426000.5
1,2020-02-01 07:00:00,2565954.5
1,2020-02-01 08:00:00,2032372.2
1,2020-02-01 09:00:00,1578097.1
1,2020-02-01 10:00:00,1145660.2
1,2020-02-01 11:00:00,515462.62
1,2020-02-01 12:00:00,93775.75
1,2020-02-02 02:00:00,118859.25
1,2020-02-02 03:00:00,843035.5
1,2020-02-02 04:00:00,1631982.8
1,2020-02-02 05:00:00,2252647.2
1,2020-02-02 06:00:00,2654524.2
1,2020-02-02 07:00:00,2792044.0
1,2020-02-02 08:00:00,2143726.8
1,2020-02-02 09:00:00,2049950.9
1,2020-02-02 10:00:00,1496288.4
1,2020-02-02 11:00:00,807540.0
1,2020-02-02 12:00:00,171798.25
1,2020-02-03 02:00:00,128865.625
1,2020-02-03 03:00:00,866023.1
1,2020-02-03 04:00:00,1655443.5
1,2020-02-03 05:00:00,2283545.2
1,2020-02-03 06:00:00,2688600.0
1,2020-02-03 07:00:00,2835517.5
1,2020-02-03 08:00:00,2712939.8
1,2020-02-03 09:00:00,2333171.5
1,2020-02-03 10:00:00,1718050.9
1,2020-02-03 11:00:00,908347.25
1,2020-02-03 12:00:00,184238.62
1,2020-02-04 02:00:00,135288.62
1,2020-02-04 03:00:00,880356.5
1,2020-02-04 04:00:00,1670047.5
1,2020-02-04 05:00:00,2294227.8
1,2020-02-04 06:00:00,2689343.5
1,2020-02-04 07:00:00,2797791.0
1,2020-02-04 08:00:00,2642624.8
1,2020-02-04 09:00:00,1855773.5
1,2020-02-04 10:00:00,1304815.4
1,2020-02-04 11:00:00,549132.6
1,2020-02-04 12:00:00,117845.0
1,2020-02-05 02:00:00,140697.5
1,2020-02-05 03:00:00,891039.0
1,2020-02-05 04:00:00,1686814.8
1,2020-02-05 05:00:00,2309710.5
1,2020-02-05 06:00:00,2708747.8
1,2020-02-05 07:00:00,2850527.0
1,2020-02-05 08:00:00,2566427.8
1,2020-02-05 09:00:00,1728868.5
1,2020-02-05 10:00:00,1195015.9
1,2020-02-05 11:00:00,636485.4
1,2020-02-05 12:00:00,145835.88
1,2020-02-06 02:00:00,116425.25
1,2020-02-06 03:00:00,717550.4
1,2020-02-06 04:00:00,1474720.6
1,2020-02-06 05:00:00,2124931.0
1,2020-02-06 06:00:00,2500778.0
1,2020-02-06 07:00:00,2652157.8
1,2020-02-06 08:00:00,2378876.0
1,2020-02-06 09:00:00,1808716.6
1,2020-02-06 10:00:00,1025245.9
1,2020-02-06 11:00:00,486052.0
1,2020-02-06 12:00:00,118791.625
1,2020-02-07 02:00:00,113788.5
1,2020-02-07 03:00:00,690303.4
1,2020-02-07 04:00:00,1483104.2
1,2020-02-07 05:00:00,1305085.8
1,2020-02-07 06:00:00,2479886.2
1,2020-02-07 07:00:00,2593945.2
1,2020-02-07 08:00:00,2289089.2
1,2020-02-07 09:00:00,1714467.5
1,2020-02-07 10:00:00,1167498.5
1,2020-02-07 11:00:00,690911.9
1,2020-02-07 12:00:00,150162.88
1,2020-02-08 02:00:00,135491.5
1,2020-02-08 03:00:00,823428.5
1,2020-02-08 04:00:00,1670723.5
1,2020-02-08 05:00:00,2321136.8
1,2020-02-08 06:00:00,2660879.5
1,2020-02-08 07:00:00,2804078.5
1,2020-02-08 08:00:00,2304369.2
1,2020-02-08 09:00:00,2102552.0
1,2020-02-08 10:00:00,1553825.0
1,2020-02-08 11:00:00,823901.75
1,2020-02-08 12:00:00,180790.5
1,2020-02-09 02:00:00,171257.38
1,2020-02-09 03:00:00,953781.6
1,2020-02-09 04:00:00,1755845.1
1,2020-02-09 05:00:00,2390910.8
1,2020-02-09 06:00:00,2799346.0
1,2020-02-09 07:00:00,2946804.5
1,2020-02-09 08:00:00,2825646.5
1,2020-02-09 09:00:00,2445472.5
1,2020-02-09 10:00:00,1838668.0
1,2020-02-09 11:00:00,1060335.8
1,2020-02-09 12:00:00,251308.25
1,2020-02-10 02:00:00,175584.5
1,2020-02-10 03:00:00,952970.25
1,2020-02-10 04:00:00,1747529.0
1,2020-02-10 05:00:00,2377726.8
1,2020-02-10 06:00:00,2783389.8
1,2020-02-10 07:00:00,2930578.0
1,2020-02-10 08:00:00,2812192.0
1,2020-02-10 09:00:00,2430733.2
1,2020-02-10 10:00:00,1743269.6
1,2020-02-10 11:00:00,812002.25
1,2020-02-10 12:00:00,198031.12
1,2020-02-11 02:00:00,186334.62
1,2020-02-11 03:00:00,976228.25
1,2020-02-11 04:00:00,1774302.9
1,2020-02-11 05:00:00,2402607.5
1,2020-02-11 06:00:00,2805498.5
1,2020-02-11 07:00:00,2948292.0
1,2020-02-11 08:00:00,2828891.8
1,2020-02-11 09:00:00,2219180.0
1,2020-02-11 10:00:00,1634619.5
1,2020-02-11 11:00:00,821941.0
