longitude,latitude,time,t2m
55.0,55.0,1981-01-01 00:00:00,267.63937
55.0,55.0,1981-01-01 01:00:00,267.66995
55.0,55.0,1981-01-01 02:00:00,267.22192
55.0,55.0,1981-01-01 03:00:00,267.2984
55.0,55.0,1981-01-01 04:00:00,267.32437
55.0,55.0,1981-01-01 05:00:00,267.73877
55.0,55.0,1981-01-01 06:00:00,268.08432
55.0,55.0,1981-01-01 07:00:00,268.14243
55.0,55.0,1981-01-01 08:00:00,269.66537
55.0,55.0,1981-01-01 09:00:00,269.73114
55.0,55.0,1981-01-01 10:00:00,270.1669
55.0,55.0,1981-01-01 11:00:00,270.04306
55.0,55.0,1981-01-01 12:00:00,269.7816
55.0,55.0,1981-01-01 13:00:00,269.71432
55.0,55.0,1981-01-01 14:00:00,269.9773
55.0,55.0,1981-01-01 15:00:00,270.14246
55.0,55.0,1981-01-01 16:00:00,270.27243
55.0,55.0,1981-01-01 17:00:00,270.74948
55.0,55.0,1981-01-01 18:00:00,271.12717
55.0,55.0,1981-01-01 19:00:00,271.28162
55.0,55.0,1981-01-01 20:00:00,271.53543
55.0,55.0,1981-01-01 21:00:00,271.69598
55.0,55.0,1981-01-01 22:00:00,272.21432
55.0,55.0,1981-01-01 23:00:00,272.3963
55.0,55.0,1981-01-02 00:00:00,272.65164
55.0,55.0,1981-01-02 01:00:00,272.94827
55.0,55.0,1981-01-02 02:00:00,273.6746
55.0,55.0,1981-01-02 03:00:00,274.40854
55.0,55.0,1981-01-02 04:00:00,274.3489
55.0,55.0,1981-01-02 05:00:00,274.62567
55.0,55.0,1981-01-02 06:00:00,274.39478
55.0,55.0,1981-01-02 07:00:00,274.2541
55.0,55.0,1981-01-02 08:00:00,274.2755
55.0,55.0,1981-01-02 09:00:00,274.05838
55.0,55.0,1981-01-02 10:00:00,273.9957
55.0,55.0,1981-01-02 11:00:00,273.91312
55.0,55.0,1981-01-02 12:00:00,273.97888
55.0,55.0,1981-01-02 13:00:00,274.07214
55.0,55.0,1981-01-02 14:00:00,274.2847
55.0,55.0,1981-01-02 15:00:00,274.3581
55.0,55.0,1981-01-02 16:00:00,274.40088
55.0,55.0,1981-01-02 17:00:00,274.57672
55.0,55.0,1981-01-02 18:00:00,274.62415
55.0,55.0,1981-01-02 19:00:00,274.67764
55.0,55.0,1981-01-02 20:00:00,274.68378
55.0,55.0,1981-01-02 21:00:00,274.72507
55.0,55.0,1981-01-02 22:00:00,274.4437
55.0,55.0,1981-01-02 23:00:00,274.48346
55.0,55.0,1981-01-03 00:00:00,274.46512
55.0,55.0,1981-01-03 01:00:00,274.33514
55.0,55.0,1981-01-03 02:00:00,274.33667
55.0,55.0,1981-01-03 03:00:00,274.3015
55.0,55.0,1981-01-03 04:00:00,274.3382
55.0,55.0,1981-01-03 05:00:00,274.4284
55.0,55.0,1981-01-03 06:00:00,274.69754
55.0,55.0,1981-01-03 07:00:00,274.79694
55.0,55.0,1981-01-03 08:00:00,275.0217
55.0,55.0,1981-01-03 09:00:00,274.9957
55.0,55.0,1981-01-03 10:00:00,274.41772
55.0,55.0,1981-01-03 11:00:00,274.19598
55.0,55.0,1981-01-03 12:00:00,274.05228
55.0,55.0,1981-01-03 14:00:00,273.80457
55.0,55.0,1981-01-03 15:00:00,273.77246
55.0,55.0,1981-01-03 16:00:00,273.60272
55.0,55.0,1981-01-03 17:00:00,273.09506
55.0,55.0,1981-01-03 18:00:00,272.48038
55.0,55.0,1981-01-03 19:00:00,272.27856
55.0,55.0,1981-01-03 20:00:00,272.01556
55.0,55.0,1981-01-03 21:00:00,272.092
55.0,55.0,1981-01-03 22:00:00,271.3978
55.0,55.0,1981-01-03 23:00:00,271.56754
55.0,55.0,1981-01-04 00:00:00,271.74948
55.0,55.0,1981-01-04 01:00:00,271.95898
55.0,55.0,1981-01-04 02:00:00,272.0339
55.0,55.0,1981-01-04 03:00:00,272.10117
55.0,55.0,1981-01-04 04:00:00,272.16693
55.0,55.0,1981-01-04 05:00:00,272.38254
55.0,55.0,1981-01-04 06:00:00,272.92535
55.0,55.0,1981-01-04 07:00:00,273.11954
55.0,55.0,1981-01-04 08:00:00,273.592
55.0,55.0,1981-01-04 09:00:00,273.7434
