longitude,latitude,time,t2m
55.0,55.0,1980-01-01 00:00:00,265.17767
55.0,55.0,1980-01-01 01:00:00,265.40884
55.0,55.0,1980-01-01 02:00:00,265.87592
55.0,55.0,1980-01-01 03:00:00,265.80258
55.0,55.0,1980-01-01 04:00:00,266.123
55.0,55.0,1980-01-01 05:00:00,266.09747
55.0,55.0,1980-01-01 06:00:00,266.16763
55.0,55.0,1980-01-01 07:00:00,265.9843
55.0,55.0,1980-01-01 08:00:00,266.3972
55.0,55.0,1980-01-01 09:00:00,266.35733
55.0,55.0,1980-01-01 10:00:00,265.32755
55.0,55.0,1980-01-01 11:00:00,265.42957
55.0,55.0,1980-01-01 12:00:00,265.12347
55.0,55.0,1980-01-01 13:00:00,265.13943
55.0,55.0,1980-01-01 14:00:00,263.8163
55.0,55.0,1980-01-01 15:00:00,263.26794
55.0,55.0,1980-01-01 16:00:00,263.10693
55.0,55.0,1980-01-01 17:00:00,262.85187
55.0,55.0,1980-01-01 18:00:00,262.54898
55.0,55.0,1980-01-01 19:00:00,262.37204
55.0,55.0,1980-01-01 20:00:00,260.90067
55.0,55.0,1980-01-01 21:00:00,260.92618
55.0,55.0,1980-01-01 22:00:00,260.74603
55.0,55.0,1980-01-01 23:00:00,260.86877
55.0,55.0,1980-01-02 00:00:00,260.73965
55.0,55.0,1980-01-02 01:00:00,260.65198
55.0,55.0,1980-01-02 02:00:00,260.74445
55.0,55.0,1980-01-02 03:00:00,260.36185
55.0,55.0,1980-01-02 04:00:00,260.23273
55.0,55.0,1980-01-02 05:00:00,259.54886
55.0,55.0,1980-01-02 06:00:00,259.63495
55.0,55.0,1980-01-02 07:00:00,259.65247
55.0,55.0,1980-01-02 08:00:00,262.24292
55.0,55.0,1980-01-02 09:00:00,262.8391
55.0,55.0,1980-01-02 10:00:00,261.25296
55.0,55.0,1980-01-02 11:00:00,261.22748
55.0,55.0,1980-01-02 12:00:00,260.41766
55.0,55.0,1980-01-02 13:00:00,259.93942
55.0,55.0,1980-01-02 14:00:00,258.9399
55.0,55.0,1980-01-02 15:00:00,258.49673
55.0,55.0,1980-01-02 16:00:00,258.41226
55.0,55.0,1980-01-02 17:00:00,257.60724
55.0,55.0,1980-01-02 18:00:00,256.75916
55.0,55.0,1980-01-02 19:00:00,257.3729
55.0,55.0,1980-01-02 20:00:00,257.72202
55.0,55.0,1980-01-02 21:00:00,256.75757
55.0,55.0,1980-01-02 22:00:00,256.10556
55.0,55.0,1980-01-02 23:00:00,255.93341
55.0,55.0,1980-01-03 00:00:00,256.7719
55.0,55.0,1980-01-03 01:00:00,256.06253
55.0,55.0,1980-01-03 02:00:00,256.46106
55.0,55.0,1980-01-03 03:00:00,256.14383
55.0,55.0,1980-01-03 04:00:00,256.35107
55.0,55.0,1980-01-03 05:00:00,256.0115
55.0,55.0,1980-01-03 06:00:00,256.7512
55.0,55.0,1980-01-03 08:00:00,259.11526
55.0,55.0,1980-01-03 09:00:00,259.87885
55.0,55.0,1980-01-03 10:00:00,260.33636
55.0,55.0,1980-01-03 11:00:00,260.41605
55.0,55.0,1980-01-03 12:00:00,260.63446
55.0,55.0,1980-01-03 13:00:00,260.80502
55.0,55.0,1980-01-03 14:00:00,259.48032
55.0,55.0,1980-01-03 15:00:00,259.84378
55.0,55.0,1980-01-03 16:00:00,259.95856
55.0,55.0,1980-01-03 17:00:00,259.17426
55.0,55.0,1980-01-03 18:00:00,259.2125
55.0,55.0,1980-01-03 19:00:00,259.51538
55.0,55.0,1980-01-03 20:00:00,259.09134
55.0,55.0,1980-01-03 21:00:00,259.1806
55.0,55.0,1980-01-03 22:00:00,257.3155
55.0,55.0,1980-01-03 23:00:00,256.87393
55.0,55.0,1980-01-04 00:00:00,256.14862
55.0,55.0,1980-01-04 01:00:00,255.62256
55.0,55.0,1980-01-04 02:00:00,254.85738
55.0,55.0,1980-01-04 03:00:00,254.0922
55.0,55.0,1980-01-04 04:00:00,253.51991
55.0,55.0,1980-01-04 05:00:00,254.07944
55.0,55.0,1980-01-04 06:00:00,253.72076
55.0,55.0,1980-01-04 07:00:00,255.03911
55.0,55.0,1980-01-04 08:00:00,257.13855
