expver,time,tp
1,2020-02-19 14:00:00,0.00013847277
1,2020-02-19 16:00:00,8.874014e-05
1,2020-02-20 09:00:00,7.118657e-05
1,2020-02-22 07:00:00,5.1680952e-05
1,2020-02-25 08:00:00,0.000117994845
1,2020-02-29 08:00:00,5.850941e-05
1,2020-02-29 16:00:00,7.703528e-05
1,2020-02-29 17:00:00,0.00010336563
1,2020-03-01 11:00:00,8.093566e-05
1,2020-03-01 17:00:00,7.8011304e-05
1,2020-03-03 17:00:00,0.00011604279
1,2020-03-04 07:00:00,8.7764114e-05
1,2020-03-04 08:00:00,8.191168e-05
1,2020-03-04 17:00:00,0.000104341656
1,2020-03-07 11:00:00,0.00014822558
1,2020-03-12 08:00:00,8.3863735e-05
1,2020-03-14 20:00:00,0.00010726601
1,2020-03-15 10:00:00,0.00013652071
1,2020-03-15 11:00:00,0.00013749674
1,2020-03-15 12:00:00,0.00021648407
1,2020-03-15 21:00:00,0.00016187504
1,2020-03-15 22:00:00,0.00019990653
1,2020-03-15 23:00:00,0.0001257956
1,2020-03-16 07:00:00,0.00013457239
1,2020-03-19 11:00:00,0.00025256723
1,2020-03-20 09:00:00,6.240979e-05
1,2020-03-27 12:00:00,0.00020185858
1,2020-03-28 06:00:00,0.00029059872
1,2020-03-29 14:00:00,6.0457736e-05
1,2020-03-29 15:00:00,0.00010531768
1,2020-03-29 16:00:00,0.00018040463
1,2020-03-31 05:00:00,8.581206e-05
1,2020-03-31 07:00:00,0.000114094466
1,2020-04-01 11:00:00,0.00028767437
1,2020-04-01 12:00:00,0.00026816875
1,2020-04-01 13:00:00,9.556487e-05
1,2020-04-02 13:00:00,0.00011506677
1,2020-04-02 18:00:00,0.00012774393
1,2020-04-02 21:00:00,0.000121895224
1,2020-04-02 22:00:00,0.00016285107
1,2020-04-04 11:00:00,0.00017552823
1,2020-04-04 12:00:00,0.0002028346
1,2020-04-07 14:00:00,0.0002896227
1,2020-04-07 16:00:00,0.00019112974
1,2020-04-08 18:00:00,8.483976e-05
1,2020-04-12 10:00:00,0.00021941215
1,2020-04-15 16:00:00,0.00037348643
1,2020-04-16 08:00:00,0.00020868331
1,2020-04-16 09:00:00,0.00012481958
1,2020-04-17 06:00:00,0.00011116639
1,2020-04-17 19:00:00,0.00018722937
1,2020-04-17 20:00:00,0.0003042519
1,2020-04-17 21:00:00,0.00036470965
1,2020-04-17 23:00:00,0.00016772747
